"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"812277884786085889","","","2016-12-23 12:45:13 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Bartók - Romanian Folk Dances, Sz.68 by Danubia Orchestra Óbuda and Domonkos Héja https://t.co/OgxFL67wyF","","","","https://youtu.be/4HAIHSqiwAA"
"811972070615744512","","","2016-12-22 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Liszt - Prelude and Fugue in A minor, BWV 543 by Bach, S.462 No.1 by Alexis Weissenberg https://t.co/8QPrvCp34B 재업","","","","https://youtu.be/QLinECVgOvI"
"811609685987950592","","","2016-12-21 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Glinka - Overture, from Ruslan and Lyudmila by Leningrad Philharmonic Orchestra and Yevgeny Mravinsky https://t.co/ytYNn93vxa 재업","","","","https://youtu.be/jMvOLepoBO8"
"811247295127658496","","","2016-12-20 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Trifonov - Rachmaniana by Daniil Trifonov https://t.co/bCUu0ItG0R","","","","https://youtu.be/-tgjX8RpiMM"
"810884901461295104","","","2016-12-19 16:30:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Liszt - Symphonic Poem No.3 ""Les préludes"", S.97 by National Philharmonic Orchestra and Zoltán Kocsis https://t.co/YmVomM0XSc","","","","https://youtu.be/alNDL0fVw2M?t=6s"
"810824504893173760","","","2016-12-19 12:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Ives - Piano Sonata No.2 ""Concord, Mass., 1840–60"" by Alexei Lubimov, Laurent Verney, and Sophie Cherrier https://t.co/fJhvNixA2H","","","","https://youtu.be/RXPSU1gOjL0?list=PLHbJf2zCdzRfrNVGcf1QoxL629PN8BLLg"
"810522518335483904","","","2016-12-18 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Richard Strauss - Tod und Verklärung, Op.24, TrV 158 by Tonhalle Orchester Zürich and David Zinman https://t.co/diId6xoX3T","","","","https://youtu.be/3D5Up1aYJJs"
"810160134840287232","","","2016-12-17 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Balakirev - Tamara by State Academic Symphony Orchestra and Yevgeny Svetlanov https://t.co/lmda19wQRl","","","","https://youtu.be/zvmG2okLYSA"
"810112043629965312","","","2016-12-17 13:18:57 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tchaikovsky - The Nutcracker Suite, Op.71a, TH.35 by Berliner Philharmoniker and Mstislav Rostropovich https://t.co/KOpWWIdice","","","","https://youtu.be/jA1-3Xgpf7Q"
"810010282059710464","","","2016-12-17 06:34:35 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mozart - Serenade No.3 in D major ""Antretter"", K.185 by Camerata Salzburg and Sándor Végh https://t.co/PWla1ISbMT","","","","https://youtu.be/rNFerHt4P78"
"809843036704231424","","","2016-12-16 19:30:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Andriessen - Image de Moreau by Nada Kolundzija https://t.co/oe8R0Cdl1H","","","","https://youtu.be/v5xRuU9mJwY"
"809797741047971840","","","2016-12-16 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Medtner - Piano Concerto No.1 in C minor, Op.33 by Geoffrey Tozer, LPO, and Paavo Järvi https://t.co/qqanQEnfGz","","","","https://youtu.be/6Rt2pJ2AFpY"
"809435354432491520","","","2016-12-15 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Hummel - Potpourri in G minor ""Fantasie"", Op.94 by James Ehnes, LMP, and Howard Shelley https://t.co/8UFNDzeAl8","","","","https://youtu.be/Ud_zou7F5kQ"
"809374959051030528","","","2016-12-15 12:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Milhaud - Le Bœuf sur le toit, Op.58 by Orchestre National de France and Leonard Bernstein https://t.co/5CbZe8jfUe","","","","https://youtu.be/uf24HMfNxuA"
"809072969314078723","","","2016-12-14 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Lyapunov - 12 Études d'exécution transcendante, Op.11 by Konstantin Scherbakov https://t.co/nK45VOtdpA","","","","https://youtu.be/Zs2n9tf7VQU?t=29s"
"808710582044008451","","","2016-12-13 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Liebermann - Gargoyles, Op.29 by Stephen Hough https://t.co/fnOqkdmC3o","","","","https://youtu.be/M2cr9BhJ0QQ"
"808551570304438272","808551505469067268","3328596200","2016-12-13 05:58:11 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Karl Leister, Radio-Sinfonieorchester Stuttgart des SWR, and Rafael Frühbeck","","","",""
"808551505469067268","","","2016-12-13 05:57:55 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Spohr - Clarinet Concerto No.1 in C minor, Op.26 by (cont) https://t.co/7gtFwwSfs6","","","","https://youtu.be/Pmlit4IRFfo"
"808544092602798080","","","2016-12-13 05:28:28 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Cartellieri - Symphony No.1 in C minor by Evergreen Symphony Orchestra and Gernot Schmalfuss https://t.co/qgLxhbjdmi","","","","https://youtu.be/iIE-zt7PWzw"
"808468985079627777","","","2016-12-13 00:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Mozart - String Quartet No.15 in D minor, K.421 by Juilliard String Quartet https://t.co/l3QmReZBfP 재업","","","","https://youtu.be/JsHC6zZQFS8"
"808348191385092096","","","2016-12-12 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Scarlatti - Sonata in E major, K.380, L.23 by Vladimir Horowitz https://t.co/YRfdZgdZW4","","","","https://youtu.be/JaHMdDjNnZ8"
"807985798725320704","","","2016-12-11 16:30:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tchaikovsky - Suite No.2 in C major ""Caractéristique"", Op.53, TH.32 by USSR Symphony Orchestra and Yevgeny Svetlanov https://t.co/kiOHK0Gau1","","","","https://youtu.be/2_LoyjViGVA"
"807932120098181120","","","2016-12-11 12:56:42 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Bach - French Suite No.2 in C minor, BWV 813 by András Schiff https://t.co/Nz3HzTzlDt","","","","https://youtu.be/FU0jr1obOao"
"807922547194896385","","","2016-12-11 12:18:40 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Ernest Bloch - Schelomo by Orchestre National de France, and Leonard Bernstein https://t.co/6Qp012gykR","","","","https://youtu.be/vlUQyEh_q4k?t=1m1s"
"807908966642503680","807908939350147072","3328596200","2016-12-11 11:24:42 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Shorena Tsintsabadze, Russian Philharmonic Orchestra, and Dmitry Yablonsky","","","",""
"807908939350147072","","","2016-12-11 11:24:36 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Lyapunov - Piano Concerto No.2 in E major, Op.38 by (cont) https://t.co/RDY1FabE1E","","","","https://youtu.be/6p9I3BQmYeY"
"807792404908515328","","","2016-12-11 03:41:32 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Richard Strauss - Sinfonia Domestica, Op.53, TrV 209 by Staatskapelle Dresden and Rudolf Kempe https://t.co/izF5IWpl8X 재업","","","","https://youtu.be/ANmiGCLWA_w"
"807770479226339328","","","2016-12-11 02:14:24 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Rachmaninoff - Trio élégiaque No.2 in D minor, Op.9 by Yevgeny Svetlanov, Leonid Kogan, and Fyodor Luzanov https://t.co/AISEgaREMT 재업","","","","https://youtu.be/UC-jip4cJCs"
"807261031768559616","","","2016-12-09 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Glazunov - Symphony No.3 in D major, Op.33 by MRSO and Vladimir Fedoseyev https://t.co/xYopoCT2Yn","","","","https://youtu.be/J7uit3RcyNo"
"807253514342666240","","","2016-12-09 16:00:10 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Tchaikovsky - The Seasons, Op.37a, TH.135 by Vladimir Ashkenazy https://t.co/CjJHz8MmWa","","","","https://youtu.be/7ABGZhFsXYI"
"806898641310978049","","","2016-12-08 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Borodin - Piano Quintet in C minor by Alexander Mndoiantz and Moscow String Quartet https://t.co/1r2GVISn1L","","","","https://youtu.be/7xS1Z9anxXo"
"806536250739957760","","","2016-12-07 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Bach - Sinfonia No.9 in F minor, BWV 795 by Glenn Gould https://t.co/kw5CAsfqfP","","","","https://youtu.be/O8rNKAhtYH8"
"806226722399977472","644401420393836545","3328596200","2016-12-06 20:00:04 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Beethoven - Symphony No.9 in D minor, Op.125 by Berliner Philharmoniker and Claudio Abbado https://t.co/zxxFGJMdUw","","","","https://youtu.be/sPt7eiVCTxk"
"806211394194415616","806211356554690560","3328596200","2016-12-06 18:59:09 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SWR Sinfonieorchester Baden-Baden und Freiburg and Urs Schneider","","","",""
"806211356554690560","","","2016-12-06 18:59:00 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Raff - Symphony No.7 in B-flat major ""In the Alps"", Op.201 by (cont) https://t.co/IdxcMQXxtk","","","","https://youtu.be/-NGOvxRPyps"
"806173865768534018","","","2016-12-06 16:30:02 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Scarlatti - Sonata in D major, K.491, L.164 by Vladimir Horowitz https://t.co/FjjZUDlSdN 재업","","","","https://youtu.be/q9T9eETuwVE"
"805811474526388224","","","2016-12-05 16:30:01 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Paul Dukas - Piano Sonata in E-flat minor by Alexander Vaulin https://t.co/hNgitJt6Nx","","","","https://youtu.be/85FtJJG2oqY"
"805506039038681088","679345131447709696","3328596200","2016-12-04 20:16:19 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Beethoven - Piano Sonata No.30 in E major, Op.109 by Valery Afanassiev https://t.co/jV7pg8RlRv","","","","https://youtu.be/swXGzcAsgYk?t=17s"
